n_estimators,max_depth,learning_rate,subsample,mse
50,3,0.01,0.8,0.8494300226661399
50,3,0.01,1.0,0.889005448720873
50,3,0.1,0.8,0.33149424031556957
50,3,0.1,1.0,0.3283494673922052
50,5,0.01,0.8,0.7673244420853192
50,5,0.01,1.0,0.7937549228702406
50,5,0.1,0.8,0.2590305994213314
50,5,0.1,1.0,0.26190398912011637
100,3,0.01,0.8,0.6552117933811877
100,3,0.01,1.0,0.6666961510146149
100,3,0.1,0.8,0.29026134370562523
100,3,0.1,1.0,0.289086730775487
100,5,0.01,0.8,0.5565501543399962
100,5,0.01,1.0,0.5660315796103951
100,5,0.1,0.8,0.25285052775319944
100,5,0.1,1.0,0.21718890278911002
